,pwr,vcc,icq
443,24,4300,26717
444,23,4100,24667
445,22,3800,24667
446,21,3400,22619
447,20,3200,20570
448,19,3000,20570
449,18,2800,14426
450,17,2900,14426
451,16,2700,14426
452,15,2500,14426
453,14,2300,14426
454,13,2100,14426
455,12,1900,14426
456,11,1900,14426
457,10,1900,14426
458,9,1900,14426
459,8,1900,14426
460,26,4500,26732
461,25,4500,22636
462,24,4300,22620
463,23,3800,20667
464,22,3600,18575
465,21,3400,18575
466,20,3200,16475
467,19,3000,16475
468,18,2800,14426
469,17,2900,14426
470,16,2700,14426
471,15,2500,14426
472,14,2300,14426
473,13,2100,14426
474,12,1900,14426
475,11,1900,14426
476,10,1900,14426
477,9,1900,14426
478,8,1900,14426
479,26,4500,26717
480,25,4500,26716
481,24,4300,26717
482,23,3800,24667
483,22,3600,24667
484,21,3400,22619
485,20,3200,20570
486,19,3000,20570
487,18,2800,14426
488,17,2900,14426
489,16,2700,14426
490,15,2500,14426
491,14,2300,14426
492,13,2100,14426
493,12,1900,14426
494,11,1900,14426
495,10,1900,14426
496,9,1900,14426
497,8,1900,14426
498,26,4500,26732
499,25,4500,22636
500,24,4300,22620
501,23,3800,20667
502,22,3600,18575
503,21,3400,18575
504,20,3200,16475
505,19,3000,16475
506,18,2800,14426
507,17,2900,14426
508,16,2700,14426
509,15,2500,14426
510,14,2300,14426
511,13,2100,14426
512,12,1900,14426
513,11,1900,14426
514,10,1900,14426
515,9,1900,14426
516,8,1900,14426
517,26,4500,26717
518,25,4500,26717
519,24,4300,26717
520,23,3800,24667
521,22,3600,24667
522,21,3400,22619
523,20,3200,20570
524,19,3000,20570
525,18,2800,14426
526,17,2900,14426
527,16,2700,14426
528,15,2500,14426
529,14,2300,14426
530,13,2100,14426
531,12,1900,14426
532,11,1900,14426
533,10,1900,14426
534,9,1900,14426
535,8,1900,14426
536,26,4500,26717
537,25,4500,26717
538,24,4300,26717
539,23,3800,24667
540,22,3600,24667
541,21,3400,22619
542,20,3200,20570
543,19,3000,20570
544,18,2800,14426
545,17,2900,14426
546,16,2700,14426
547,15,2500,14426
548,14,2300,14426
549,13,2100,14426
550,12,1900,14426
551,11,1900,14426
552,10,1900,14426
553,9,1900,14426
554,8,1900,14426
555,17,2800,14424
556,16,2700,14424
557,15,2500,14424
558,14,2300,14424
559,13,2200,13383
560,12,2000,13383
561,11,1800,12358
562,10,1600,12358
563,9,1400,12358
564,8,1300,12358
565,7,1300,12358
566,6,1200,12358
567,5,1200,12358
568,4,1100,12358
569,3,1100,12358
570,2,1100,12358
571,1,900,12358
572,0,900,12358
573,-1,900,12358
574,17,2800,18521
575,16,2700,18520
576,15,2500,18520
577,14,2300,18520
578,13,2200,18520
579,12,2000,18520
580,11,1800,16455
581,10,1600,16455
582,9,1400,16455
583,8,1300,16454
584,7,1300,16454
585,6,1200,16454
586,5,1200,16454
587,4,1100,16454
588,3,1100,16454
589,2,1100,16454
590,1,900,16454
591,0,900,16454
592,-1,900,16454
593,17,2800,14424
594,16,2700,14424
595,15,2500,14424
596,14,2300,14424
597,13,2200,13383
598,12,2000,13383
599,11,1800,12358
600,10,1600,12358
601,9,1400,12358
602,8,1300,12358
603,7,1300,12358
604,6,1200,12358
605,5,1200,12358
606,4,1100,12358
607,3,1100,12358
608,2,1100,12358
609,1,900,12358
610,0,900,12358
611,-1,900,12358
612,17,2800,18521
613,16,2700,18520
614,15,2500,18520
615,14,2300,18520
616,13,2200,18520
617,12,2000,18520
618,11,1800,16455
619,10,1600,16455
620,9,1400,16455
621,8,1300,16454
622,7,1300,16454
623,6,1200,16454
624,5,1200,16454
625,4,1100,16454
626,3,1100,16454
627,2,1100,16454
628,1,900,16454
629,0,900,16454
630,-1,900,16454
631,17,2800,18521
632,16,2700,18520
633,15,2500,18520
634,14,2300,18520
635,13,2200,18520
636,12,2000,18520
637,11,1800,16455
638,10,1600,16455
639,9,1400,16455
640,8,1300,16454
641,7,1300,16454
642,6,1200,16454
643,5,1200,16454
644,4,1100,16454
645,3,1100,16454
646,2,1100,16454
647,1,900,16454
648,0,900,16454
649,-1,900,16454
650,6,1000,18484
651,5,1000,18484
652,4,1000,18484
653,3,1000,18484
654,2,1000,18484
655,1,1000,18484
656,0,1000,18484
657,-1,1000,18484
658,-2,1000,18484
659,-3,1000,18484
660,-4,700,18484
661,-5,700,18484
662,-6,700,18484
663,-7,700,18484
664,-8,700,18484
665,-20,700,18484
666,6,1000,18484
667,5,1000,18484
668,4,1000,18484
669,3,1000,18484
670,2,1000,18484
671,1,1000,18484
672,0,1000,18484
673,-1,1000,18484
674,-2,1000,18484
675,-3,1000,18484
676,-4,700,18484
677,-5,700,18484
678,-6,700,18484
679,-7,700,18484
680,-8,700,18484
681,-20,700,18484
682,6,1000,18484
683,5,1000,18484
684,4,1000,18484
685,3,1000,18484
686,2,1000,18484
687,1,1000,18484
688,0,1000,18484
689,-1,1000,18484
690,-2,1000,18484
691,-3,1000,18484
692,-4,700,18484
693,-5,700,18484
694,-6,700,18484
695,-7,700,18484
696,-8,700,18484
697,-20,700,18484
698,6,1000,18484
699,5,1000,18484
700,4,1000,18484
701,3,1000,18484
702,2,1000,18484
703,1,1000,18484
704,0,1000,18484
705,-1,1000,18484
706,-2,1000,18484
707,-3,1000,18484
708,-4,700,18484
709,-5,700,18484
710,-6,700,18484
711,-7,700,18484
712,-8,700,18484
713,-20,700,18484
714,6,1000,18484
715,5,1000,18484
716,4,1000,18484
717,3,1000,18484
718,2,1000,18484
719,1,1000,18484
720,0,1000,18484
721,-1,1000,18484
722,-2,1000,18484
723,-3,1000,18484
724,-4,700,18484
725,-5,700,18484
726,-6,700,18484
727,-7,700,18484
728,-8,700,18484
729,-20,700,18484
730,26,5000,22636
731,25,5000,20587
732,24,5000,18538
733,23,5000,18538
734,22,4900,18537
735,21,4500,18537
736,20,3700,18537
737,19,3200,18537
738,18,2600,18537
739,17,2500,18537
740,16,2300,18535
741,15,2500,18535
742,14,2300,18535
743,13,1800,16486
744,12,1300,16486
745,11,1300,16486
746,10,1000,14437
